id,naam,locatie,provincie,gemeente,deelgemeente,bewaringstoestand,structuren,gebeurtenistypes,brontypes,stijl,typologie,context,materiaal,plantensoort,datering,gebeurtenissen,themas,disciplines,zichtbaarheid,dataverantwoordelijke
979815,Burchtstraat,Burchtstraat (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,,controle van werken,eindverslag (archeologieportaal),,,,,,,Werfbegeleiding Burchtzone,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
222497,Esplanadestraat 7,Esplanadestraat 7 (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,Recente structuren,archeologische opgravingen,eindverslag (archeologieportaal),,"beerputten, funderingslagen, waterputten",,,,20ste eeuw,Werfbegeleiding Esplanadestraat 7,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983889,Europastraat 70-72-74,Europastraat 70-74 (Aalst),Oost-Vlaanderen,Aalst,Baardegem,niet bewaard,,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,,,,,,Archeologisch vooronderzoek Europastraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
987910,Hoezekouterdreef,"Frans Roucelstraat, Hoezekouterdreef (Aalst)",Oost-Vlaanderen,Aalst,Aalst,bewaard,"Bewoning vroege middeleeuwen, Vondstconcentratie metaaltijden, Losse vondsten","in-situbehoud, landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"bouwmaterialen, gebouwplattegronden, kuilen, paalkuilen, vondstenconcentraties",,"aardewerk, bot (dierlijk), houtskool, lithisch materiaal",,"ijzertijd, Merovingische periode, metaaltijden, steentijd",Archeologisch vooronderzoek Hoezekouterdreef,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988874,Gentse Steenweg,Gentse steenweg (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,,,,,,Vooronderzoek Gentse Steenweg,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980869,Galg,Gentse steenweg 291 (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,Galgenveld,kaartstudie,cartografie/iconografie/fotografie,,executieplaatsen,,,,nieuwe tijd,Cartografisch onderzoek,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983701,Pupillensite,Graanmarkt 5 (Aalst),Oost-Vlaanderen,Aalst,Onbepaald,bewaard,"Klooster: late middeleeuwen, Klooster: nieuwe - nieuwste tijd, Ongedateerd sporen en objecten",archeologisch vooronderzoek met ingreep in de bodem,literatuur,,"afvalkuilen, archeologische objecten, beerputten, cultuurlagen, kasseiwegen, kloosters, kuilen, muurresten, omheiningsmuren, vloeren",,"aardewerk, bot (dierlijk), bot (menselijk), glas, metaal, zilver",,"14de eeuw, 15de eeuw, 19de eeuw, nieuwe tijd",Archeologisch vooronderzoek Aalst Pupillensite ,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982566,Haantjesweg,Haantjesweg (Aalst),Oost-Vlaanderen,Aalst,Erembodegem,niet bewaard,"Haardje, Twee greppels","bureauonderzoek, proefsleuven en proefputten i.f.v. sporensites",archeologienota (archeologieportaal),,"greppels, haardplaatsen",,,,,Archeologisch vooronderzoek Haantjesweg,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980846,Aalst Hopmarkt 23-25,"Hopmarkt 23-24, 25 (Aalst)",Oost-Vlaanderen,Aalst,Aalst,bewaard,Resten Nieuwste tijd,archeologisch vooronderzoek met ingreep in de bodem,nota (archeologieportaal),,"muurresten, ophogingslagen, puinlagen",,,,nieuwste tijd,Vooronderzoek Aalst Hopmarkt 23-25,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984571,Houtkaai 15,Houtkaai 15 (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,,,,,,Archeologisch vooronderzoek Houtkaai 15,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
990130,Industrielaan 7,Industrielaan (Aalst),Oost-Vlaanderen,Aalst,Erembodegem,niet bewaard,"19de-eeuwse gracht, Romeinse sporen","fysisch-antropologisch onderzoek, proefsleuven en proefputten i.f.v. sporensites, radiokoolstofdatering",nota (archeologieportaal),,"brandrestengraven, grachten (infrastructuur)",,"aardewerk, bot, houtskool, metaal",,"19de eeuw, Midden-Romeinse tijd",Vooronderzoek Industrielaan 7,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983230,Industrielaan 5,Industrielaan 5 (Aalst),Oost-Vlaanderen,Aalst,Erembodegem,niet bewaard,,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,,,,,,Archeologisch vooronderzoek Industrielaan 5,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988530,Industrielaan,Industrielaan 7 (Aalst),Oost-Vlaanderen,Aalst,Erembodegem,niet bewaard,"Romeinse brandrestengraven, Postmiddeleeuwse percelering",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"brandrestengraven, grachten (infrastructuur), perceelsgrenzen, perceelsgreppels, vaatwerk",,"aardewerk, houtskool, metaal",,"19de eeuw, Midden-Romeinse tijd",Proefsleuvenonderzoek Industrielaan,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982831,Kareelstraat 108,Kareelstraat 108 (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,,,,,,Archeologisch vooronderzoek Kareelstraat 108,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984207,Kasteelstraat,Kasteelstraat (Aalst),Oost-Vlaanderen,Aalst,Hofstade,bewaard,"Losse Romeinse vondsten, Steentijd vondsten, Vroege ijzertijd aardewerk, Late bronstijd/ vroege ijzertijd urnenveld, Late bronstijd langbed, IJzertijd nederzetting, Middeleeuwen - nieuwe tijd, Romeinse graven","archeologische opgravingen, archeozoölogisch onderzoek, fysisch-antropologisch onderzoek, metaaldetectie, radiokoolstofdatering",literatuur,"Hallstatt, La Tène","afvalkuilen, akkerlanden, bijgebouwen, bouwmaterialen, brandrestengraven, crematiegraven, erven, funeraire, rituele en religieuze objecten, gebouwplattegronden, grafheuvels, greppels, kleding en -accessoires, kringgreppels, kuilen, langbedden, losse vondsten, munten, nederzettingen, perceelsgreppels, silo's, spijkers, urnengraven, urnenvelden, vaatwerk, vondstenconcentraties, werktuigen",,"aardewerk, bladgoud, bot (dierlijk), bot (menselijk), brons, glas, houtskool, ijzer, lithisch materiaal, natuursteen, vuursteen",,"laatneolithicum, late bronstijd, late ijzertijd (oosten), late middeleeuwen, mesolithicum, middenijzertijd, middenneolithicum, nieuwe tijd, Romeinse tijd, vroege ijzertijd","Archeologisch onderzoek Kasteelstraat, Metaaldetectie Kasteelstraat",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980066,Opgraving Aalst Kattestraat,Kattestraat 61 (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,"Romeins aardewerk, Voor 1ste helft 13de Eeuw, Na 1ste helft 13de eeuw, Recente kelderruimtes",archeologische opgravingen,eindverslag (archeologieportaal),,"afvalkuilen, akkerlagen, archeologische objecten, cultuurlagen, extractiekuilen, kelders, muurresten, nivelleringslagen, ovens, waterleidingen, waterputten",,aardewerk,,"Karolingische periode, late middeleeuwen, nieuwste tijd, volle middeleeuwen, Vroeg-Romeinse tijd, vroege middeleeuwen",Opgraving Aalst Kattestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988607,Keizersplein 37,Keizersplein (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Sporen van bebouwing, Stadsgracht",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"afvalkuilen, grachten (verdedigingselementen), muurresten, waterputten",,"aardewerk, steengoed",,"16de eeuw, 17de eeuw, 18de eeuw, nieuwste tijd",Archeologisch vooronderzoek Keizersplein 37,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982371,Keizersplein 33,Keizersplein 33 (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Demping van de stadsgracht, Greppel",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"grachten (infrastructuur), greppels",,,,late middeleeuwen,Archeologisch vooronderzoek Keizersplein 33,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984457,Keizersplein 33,Keizersplein 33 (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,Stadsgracht,"archeologische opgravingen, controle van werken, proefsleuven en proefputten i.f.v. sporensites",eindverslag (archeologieportaal),,grachten (infrastructuur),,aardewerk,,nieuwe tijd,Opgraving Keizersplein 33,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
30740,Sint-Martinuskerk,Kerkstraat (Aalst),Oost-Vlaanderen,Aalst,Moorsel,bewaard,"Vroegmiddeleeuwse sporen, Volmiddeleeuwse sporen, Laatmiddeleeuwse tot nieuwe tijd sporen","archeologische opgravingen, erfgoedonderzoek, fysisch-antropologisch onderzoek",literatuur,,"funderingslagen, grafkelders, greppels, kapellen (gebouwen en structuren), kerkhoven, muurresten, omheiningsmuren, ovens, paalkuilen, paalsporen, perceelsgreppels, vaatwerk, vlakgraven, vloeren, waterputten",,"aardewerk, bot (menselijk), kalkzandsteen, natuursteen",,"Karolingische periode, late middeleeuwen, Merovingische periode, nieuwe tijd, volle middeleeuwen","Erfgoedonderzoek Aalst, Opgravingen Moorsel Sint Martinuskerk, Skeletonderzoek doctoraatsstudie M. Van Cant",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980903,Klapstraat,Klapstraat (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,"Aardewerk, Glas, Dierlijke resten, Bouwmateriaal en natuursteen, Extractiekuilen, Kelders en waterputten, Metaal, Munten, Beerput, Ivoor, Zaden en vruchten, Houtskool, Greppels, Paalkuilen","archeologische opgravingen, toevalsvondsten","literatuur, toevalsvondst (archeologieportaal)",,"akkerlanden, beerputten, bouwmaterialen, daken, extractiekuilen, graslanden, haardplaatsen, kelders, leemwinning, molens, munten, muurresten, onderdelen van gebouwen en structuren, paalkuilen, perceelsgreppels, vaatwerk, waterputten, werktuigen, woningen","beerputten, extractiekuilen, grachten (infrastructuur), kuilen, religieuze gebouwen en complexen","aardewerk, biljoenzilver, bot (dierlijk), dierlijk en menselijk materiaal, Doornikse kalksteen, glas, houtskool, ijzer, ivoor, kalkzandsteen, koper, koperlegering, leisteen, lood-tinlegering, metaal, mortel, natuursteen, plantaardig materiaal, schelp, steengoed, steenkool, tand, tin, vuursteen, zilver","Alnus, Betula, Carpinus betulus, Corylus avellana, Fagus sylvatica, Populus, Prunus avium, Prunus cerasus, Quercus, Salix, Vitis vinifera","11de eeuw, 12de eeuw, 13de eeuw, 14de eeuw, 15de eeuw, 16de eeuw, 17de eeuw, 18de eeuw, eerste helft 16de eeuw, eerste helft 18de eeuw, late middeleeuwen, neolithicum, nieuwe tijd, Romeinse tijd, tweede helft 12de eeuw, tweede helft 15de eeuw, tweede helft 17de eeuw, volle middeleeuwen, vroege bronstijd, vroege middeleeuwen",Toevalsvondst Klapstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983523,Koekeroel,Koekeroel (Aalst),Oost-Vlaanderen,Aalst,Herdersem,niet bewaard,Grondspoor,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,paalkuilen,,,,nieuwste tijd,Proefsleuvenonderzoek Koekeroel,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
991157,Lijnzaadstraat Verkaveling Botermelkstraat fase 4,"Koolzaadstraat, Lijnzaadstraat (Aalst)",Oost-Vlaanderen,Aalst,Aalst,niet bewaard,,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek",nota (archeologieportaal),,,,,,,Vooronderzoek Lijnzaadstraat Verkaveling Botermelkstraat fase 4,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983946,Moorsel Kruisabeelstraat,Kruisabeelstraat (Aalst),Oost-Vlaanderen,Aalst,Moorsel,bewaard,Middeleeuwse sporen,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,archeologische sporen en uitgravingen,,aardewerk,,middeleeuwen,Archeologisch vooronderzoek Moorsel Kruisabeelstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988144,Kwalestraat,Kwalestraat (Aalst),Oost-Vlaanderen,Aalst,Nieuwerkerken,niet bewaard,Grondsporen,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek",nota (archeologieportaal),,"kuilen, ploegsporen",,aardewerk,,"nieuwe tijd, nieuwste tijd",Archeologisch vooronderzoek Kwalestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
991011,Landweg,Landweg (Aalst),Oost-Vlaanderen,Aalst,Herdersem,bewaard,,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,,,,,,Vooronderzoek Aalst (Herdersem) Landweg,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
979453,Aalst Louis D'Haeseleerstraat,Louis D'Haeseleerstraat (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Sporen 19de Eeuw, Vroeg- of pre-stedelijke sporen, Sporen 14de - 18de eeuw","anthracologisch onderzoek, fysisch-antropologisch onderzoek, vlakdekkende opgravingen",literatuur,,"beerputten, begraafplaatsen, extractiekuilen, greppels, kalkputten, kloosters, kloostertuinen, kuilen, leemwinning, paalsporen, waterputten",,"aardewerk, bot (dierlijk), bot (menselijk)",,"14de eeuw, 15de eeuw, 16de eeuw, 17de eeuw, 18de eeuw, 19de eeuw, middeleeuwen",Opgraving Aalst Louis D'Haeseleerstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982591,Mechelseweg 5,Mechelseweg 5 (Aalst),Oost-Vlaanderen,Aalst,Baardegem,bewaard,"8 ongedateerde sporen, 10-tal scherven handgevormd aardewerk","landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"greppels, meilers, paalkuilen, vaatwerk",,"aardewerk, houtskool",,ijzertijd,Archeologisch vooronderzoek Mechelseweg 5,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
214759,Merestraat,Merestraat (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"IJzertijd sporen, Laatmiddeleeuwse kuilen, Ongedateerde sporen, Recente sporen, Middeleeuwse veldoven/kampvuur en kuilen, Postmiddeleeeuws aardewerk, Kuilen met aardewerk Ijzertijd","anthracologisch onderzoek, archeobotanisch onderzoek, archeologische opgravingen, archeozoölogisch onderzoek, conservatie, dendrochronologisch onderzoek, fysisch-antropologisch onderzoek, palynologisch onderzoek, radiokoolstofdatering",literatuur,,"archeologische sporen en uitgravingen, greppels, kuilen, perceelsgrenzen, vaatwerk, veldovens, waterkuilen, werktuigen",,"aardewerk, bot, geglazuurd aardewerk, grijs aardewerk, houtskool, ijzer, vuursteen",,"eerste helft 16de eeuw, ijzertijd, late middeleeuwen, neolithicum, nieuwe tijd",Archeologische opgraving Merestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983653,Nederhase,"Nederhase, Steenweg op Aalst (Aalst)",Oost-Vlaanderen,Aalst,Hofstade,niet bewaard,,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek",nota (archeologieportaal),,,,,,,Archeologisch vooronderzoek Nederhase,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982590,Nieuwstraat 38,Nieuwstraat 38 (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Beerput, Winningskuilen, Puinkuilen, Kuil met verbrand laagje, Muurresten",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"afvalkuilen, beerputten, kuilen, woonhuizen",,,,"14de eeuw, late middeleeuwen, nieuwe tijd, nieuwste tijd",Archeologisch vooronderzoek Nieuwstraat 38,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983954,Nieuwstraat 38,Nieuwstraat 38 (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Bewoning middeleeuwen en nieuwe tijd, Bewoning nieuwste tijd","anthracologisch onderzoek, archeologische opgravingen, archeozoölogisch onderzoek, materiaalstudie, radiokoolstofdatering, zaden- en vruchtenonderzoek",eindverslag (archeologieportaal),,"beerputten, brandlagen, funderingslagen, kelders, muurresten, stadswoningen, waterleidingen",,"aardewerk, bot (dierlijk), glas, houtskool, metaal, plantaardig materiaal",,"nieuwe tijd, nieuwste tijd, volle middeleeuwen",Archeologisch opgraving Nieuwstraat 38,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983963,Perrekouterbaan,Perrekouterbaan (Aalst),Oost-Vlaanderen,Aalst,Moorsel,niet bewaard,"Grondsporen, Vondst uit boringen","landschappelijk booronderzoek, proefputten i.f.v. steentijdartefactensites, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek, waarderend archeologisch booronderzoek",nota (archeologieportaal),,"kuilen, paalsporen, vaatwerk",,"aardewerk, lithisch materiaal",,"metaaltijden, nieuwe tijd, nieuwste tijd, steentijd",Archeologisch vooronderzoek Perrekouterbaan,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
981007,Pierre Corneliskaai,Pierre Corneliskaai (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,Stadsgracht,archeologisch vooronderzoek met ingreep in de bodem,nota (archeologieportaal),,grachten (infrastructuur),,,,"19de eeuw, nieuwe tijd",Vooronderzoek Aalst Pierre Corneliskaai,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
979605,Aalst Siesegemkouter,Siesegemlaan (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,"Lithische artefacten, Finaalneolithische Nederzettingssporen","anthracologisch onderzoek, vlakdekkende opgravingen",literatuur,,"nederzettingen, paalsporen, standgreppels",,"aardewerk, houtskool, kwartsiet van Wommersom, lithisch materiaal",,"finaalneolithicum, finaalpaleolithicum, mesolithicum, metaaltijden, neolithicum",Opgraving Aalst Siesegemkouter,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980975,"Aalst, Siesegemkouter Fase IB",Siesegemlaan (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Palenclusters en spieker, Kuil uit metaaltijden, Kuil met sporen van verbranding","archeologisch vooronderzoek met ingreep in de bodem, bureauonderzoek, landschappelijk booronderzoek, verkennend archeologisch booronderzoek",nota (archeologieportaal),,"greppels, kuilen, paalsporen, spijkers, vaatwerk, waterputten",,"aardewerk, houtskool",,ijzertijd,Vooronderzoek Aalst Siesegemkouter IB,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984605,Siesegemkouter,Siesegemlaan (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Crematiegraven uit de metaaltijden, Overige sporen uit de metaaltijden, Postmiddeleeuwse kuil, Kringgreppels, Crematiegraf uit de Romeinse periode","archeobotanisch onderzoek, archeologische opgravingen, natuurwetenschappelijk onderzoek, radiokoolstofdatering, vlakopgravingen",eindverslag (archeologieportaal),,"bouwmaterialen, brandrestengraven, crematiegraven, kringgreppels, kuilen, militaire kampen en bases, paalsporen, spijkers, werktuigen",,"aardewerk, bot, bot (dierlijk), houtskool, metaal, vuursteen",,"finaalneolithicum, late bronstijd, metaaltijden, middenbronstijd, nieuwe tijd, Romeinse tijd, vroege ijzertijd",Opgraving Aalst Siesegemkouter 1A,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983317,Sint Jobstraat 290,Sint Jobstraat 290 (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,Bakstenen structuren,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"muurresten, waterputten",,,,nieuwste tijd,Archeologisch vooronderzoek Sint-Jobstraat 290,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980157,Sint-Martinuskerk,Sint Martensplein (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Volle middeleeuwen, Vroege middeleeuwen, Inhumatiegraven","archeologische opgravingen, fysisch-antropologisch onderzoek, grondradaronderzoek, metaaldetectie, radiokoolstofdatering",eindverslag (archeologieportaal),,"archeologische sporen en uitgravingen, inhumatiegraven, kuilen, mensengraven, muurresten",,"aardewerk, metaal",,"Karolingische periode, nieuwe tijd, volle middeleeuwen, vroege middeleeuwen","Opgraving Aalst Sint-Martinuskerk, Opgravingen koor Martinuskerk",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
